Network_id,Network Name,City,Country,Location_Latitude,Location_Longitude
abu-dhabi-careem-bike,Abu Dhabi Careem BIKE,Abu Dhabi,AE,24.4866,54.3728
acces-velo-saguenay,Accès Vélo,Saguenay,CA,48.433333,-71.083333
aksu,Aksu,阿克苏市 (Aksu City),CN,41.1664,80.2617
alba,Alba,Alba,IT,44.716667,8.083333
albabici,AlbaBici,Albacete,ES,38.9943,-1.8602
algira,AlGira,Almeirim,PT,39.2082,-8.6252
almatybike,Almatybike,Almaty,KZ,43.239101,76.9268076
alsa-nextbike-leon,Alsa nextbike León,León,ES,42.5987263,-5.5670959
ambici-amb,Ambici,Barcelona,ES,41.44584,2.19902
ambici-badalona,Ambici,Badalona,ES,41.447,2.245
ambici-castelldefels,Ambici,Castelldefels,ES,41.2816,1.97678
ambici-cornella-de-llobregat,Ambici,Cornellà de Llobregat,ES,41.3585,2.07081
ambici-el-prat-de-llobregat,Ambici,El Prat de Llobregat,ES,41.3239,2.09317
ambici-esplugues-de-llobregat,Ambici,Esplugues de Llobregat,ES,41.3771,2.08938
ambici-gava,Ambici,Gavà,ES,41.303,2.00269
ambici-hospitalet-de-llobregat,Ambici,Hospitalet de Llobregat,ES,41.3631,2.1126
ambici-molins-de-rei,Ambici,Molins de Rei,ES,41.4132,2.02037
ambici-sant-adria-de-besos,Ambici,Sant Adrià de Besòs,ES,41.43073,2.21855
ambici-sant-boi-de-llobregat,Ambici,Sant Boi de Llobregat,ES,41.3458,2.03404
ambici-sant-feliu-de-llobregat,Ambici,Sant Feliu de Llobregat,ES,41.38333,2.05
ambici-sant-joan-despi,Ambici,Sant Joan Despí,ES,41.368,2.05635
ambici-sant-just-desvern,Ambici,Sant Just Desvern,ES,41.3807,2.07496
ambici-santa-coloma-de-gramenet,Ambici,Santa Coloma de Gramenet,ES,41.4459,2.21033
ambici-viladecans,Ambici,Viladecans,ES,41.3165,2.01306
andria,Andria in Bici,Andria,IT,41.224346932834,16.296983922753956
aral,Aral,阿拉尔市 (Aral),CN,40.5577,81.2879
arbike,ARbike,Arezzo,IT,43.473333,11.87
arriva-nitra,Arriva,Nitra,SK,48.3088,18.0783
arval-scandicci,ARVAL,Scandicci,IT,43.7701,11.1592
ascoli-piceno,Ascoli Piceno,Ascoli Piceno,IT,42.85,13.583333
athens-bikes,AthensBikes,Athens,GR,37.9838,23.7275
auxrmlevelo,AuxR_M le vélo,Auxerre,FR,47.797221,3.572376
